size,sample,flat,voltage
0.261,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.140452509086.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.140752701760.h5,80
0.507,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.141357503069.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.141620613255.h5,80
0.690,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142157097914.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142419998785.h5,80
0.890,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.142949728598.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.143212849121.h5,80
1.18,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.143655398680.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.143918635654.h5,80
1.54,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.144507150166.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.144730273033.h5,80
1.86,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.145211284901.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.145434489612.h5,80
3.62,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.151545310191.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.151808510646.h5,80
7.75,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.152631961088.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_03/microspheres/series.160803.152855225691.h5,80
0.261,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.104726766967.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.104949576816.h5,120
0.507,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.105758576616.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.110021721691.h5,120
0.690,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.110541319131.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.110804213422.h5,120
0.890,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.111312589696.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.111535663450.h5,120
1.18,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.112121470874.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.112344683567.h5,120
1.54,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.112931073102.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.113154178719.h5,120
1.86,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.113600136308.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.113822939568.h5,120
3.62,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.114350073519.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.114613008691.h5,120
7.75,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.115227302145.h5,/afs/psi.ch/project/hedpc/raw_data/2016/pilatus/2016_08_04/microspheres120kV/series.160804.115450169695.h5,120
